,State,State_Codes
512500,AL,0
543251,AR,1
512571,AZ,2
512590,CA,3
513244,CO,4
512780,CT,5
513790,DC,6
512290,DE,7
512385,FL,8
512431,GA,9
513108,IA,10
583054,ID,11
512467,IL,12
512329,IN,13
515587,KS,14
512821,KY,15
512493,LA,16
513544,MA,17
512797,MD,18
643473,ME,19
512232,MI,20
512445,MN,21
512437,MO,22
523051,MS,23
1058704,MT,24
512340,NC,25
513083,NE,26
512692,NH,27
512272,NJ,28
513270,NM,29
513317,NV,30
512235,NY,31
513747,OH,32
512485,OK,33
512587,OR,34
512305,PA,35
513552,RI,36
512354,SC,37
512509,TN,38
512471,TX,39
513240,UT,40
512320,VA,41
523946,VT,42
512585,WA,43
514436,WI,44
828014,WV,45
927096,WY,46
